Source;Target;Year
MEDEIROS Tiago Vidal;AARÃO REIS Daniel ;2020
SILVA Natanael de Freitas;AARÃO REIS Daniel ;2017
SILVA Natanael de Freitas;AARÃO REIS Daniel ;2022
ASSIS Eduardo Moreira;ABELOVE Henry;2011
BRANDÃO Renata Rodrigues ;ABELOVE Henry;2015
JESUS Cassiano Celestino;ABELOVE Henry;2020
KUMPERA Julia Aleksandra Martucci;ABELOVE Henry;2021
ROCHA Cassio Bruno de Araujo;ABELOVE Henry;2021
SANTOS Daniel Barbosa dos;ABELOVE Henry;2009
SOUZA Mariana Barbosa;ABELOVE Henry;2022
VIANNA Eliza da Silva;ABOIM Sofia ;2014
VIEIRA Kyara Maria de Almeida;ABOIM Sofia ;2014
CORREA Ester Candida;ABRAMOVAY Miriam ;2018
SILVA Tiago Vidal da;ABRAMOVAY Miriam ;2022
AGUIAR Juno Nedel Mendes de;ABREU Alzira Alves de;2020
BORTOLON Flavia ;ABREU Alzira Alves de;2020
LIRA Jefferson Maciel;ABREU Alzira Alves de;2022
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Alzira Alves de;2022
CARDOSO Guilherme da Silva;ABREU Caio Fernando;2022
DALLASTA Rodrigo Bonatto;ABREU Caio Fernando;2021
GOMES Elisa Mariana de Medeiros Nobrega;ABREU Caio Fernando;2007
NASCIMENTO Cicera Maria castro do;ABREU Caio Fernando;2021
NASCIMENTO Dilene Raimundo;ABREU Caio Fernando;1999
RODRIGUES Rita de Cassia Colaco;ABREU Caio Fernando;2012
SILVA Walber Ferreira da;ABREU Caio Fernando;2021
SOUSA NETO Miguel Rodrigues de;ABREU Caio Fernando;2005
SOUZA Italo Cristiano Silva e;ABREU Caio Fernando;2014
VASCONCELOS Osvaldo;ABREU Caio Fernando;2022
VIANNA Eliza da Silva;ABREU Caio Fernando;2014
JESUS Iara da Silva;ABREU João Capistrano de;2019
GOMES Veronica de Jesus;ABREU João Capistrano de;2010
GOMES Veronica de Jesus;ABREU João Capistrano de;2019
LIMA Wallas Jefferson de;ABREU João Capistrano de;2021
SILVA Ronaldo Manoel da;ABREU João Capistrano de;2018
VIANA JR Mario Martins;ABREU João Capistrano de;2013
DIAS Claudio Jose Piotrovski;ABREU João Francisco;2012
QUEIROZ Marcos Tadeu Pereira de;ABREU João Francisco;2019
ANDRADE Marciano Vieira;ABREU Manoel;2015
NASCIMENTO Dilene Raimundo;ABREU Manoel;1999
MAIOR JR Paulo Roberto Souto;ABREU Márcia;2019
NASCIMENTO Anne Raquel da Silva;ABREU Márcia;2022
NOBREGA Isabela Silva;ABREU Márcia;2015
SILVA Tiago Vidal da;ABREU Márcia;2022
FERREIRA Tiago da Silva;ABREU Martha;2013
NASCIMENTO Álvaro Pereira;ABREU Martha;2002
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Martha;2022
SOARES Bruno Cesar Brulon;ABREU Martha;2019
BRITO Alexandre Magno Maciel Costa e;ABREU Martha ;2016
GALLINA Justina Franchi;ABREU Martha ;2008
GONCALVES Jose Claudio Leoncio;ABREU Martha ;2018
NOBREGA Isabela Silva;ABREU Martha ;2015
SOARES Bruno Cesar Brulon;ABREU Martha ;2019
VIANA JR Mario Martins;ABREU Martha ;2013
GOMES JR João;ABREU Maurício de Almeida;2019
NASCIMENTO Álvaro Pereira;ABREU Maurício de Almeida;2002
CORREA William Bruno;ABREU Nuno César Pereira de;2020
COSTA Gerferson Damasceno;ABREU Nuno César Pereira de;2018
NOBREGA Isabela Silva;ABREU Nuno César Pereira de;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;ABREU Nuno César Pereira de;2022
SILVA Fabio Ronaldo da;ABREU Nuno César Pereira de;2010
SILVA Fabio Ronaldo da;ABREU Nuno César Pereira de;2017
VIEIRA Kyara Maria de Almeida;ABREU Nuno César Pereira de;2014
AMARILLO Claudia Patricia Rivera;ABUD Katia Maria ;2012
LIRA Jefferson Maciel;ABUD Katia Maria ;2022
MEDEIROS Talita Goncalves;ABUD Katia Maria ;2015
QUEIROZ Marcos Tadeu Pereira de;ABUD Katia Maria ;2019
CUEVAS Clara Eliana;ACHA Omar ;2015
PINTO Rhanielly Pereira do Nascimento;ACHA Omar ;2021
MARTINELLI Leonardo da Silva;ACHARD Pierre;2019
SELEM Maria Celia Orlato;ACHARD Pierre;2007
AFONSO Ana Paula Jardim Martins;ADELMAN Miriam;2016
MARIUSSO Victor Hugo da Silva Gomes;ADELMAN Miriam;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;ADELMAN Miriam;2022
SANTOS Fernanda Cassia dos;ADELMAN Miriam;2012
SELEM Maria Celia Orlato;ADELMAN Miriam;2007
TOLEDO Eliza Teixeira de;ADELMAN Miriam;2015
AFONSO Pablo Andrade;ADICHIE Chimamanda Ngozi ;2022
NASCIMENTO Anne Raquel da Silva;ADICHIE Chimamanda Ngozi ;2022
SILVA Walber Ferreira da;ADICHIE Chimamanda Ngozi ;2021
DAVI Edmar Henrique D ;ADORNO Sérgio ;2004
KOREN Jonas Christmann;ADORNO Sérgio ;2019
BARATA Germana Fernandes;ADORNO Theodor;2006
CARDOSO Guilherme da Silva;ADORNO Theodor;2022
MARTINS Carla Cristina Siqueira;ADORNO Theodor;2020
MOTA Frederico Alves;ADORNO Theodor;2013
NOGUEIRA Joanna Ribeiro;ADORNO Theodor;2016
PETERS Carlos Eduardo Marotta;ADORNO Theodor;2010
SOUSA NETO Miguel Rodrigues de;ADORNO Theodor;2005
CASTRO Alana Albuquerque de;ADRIÃO Karla Galvão ;2022
SANTOS Paulo Henrique Souza dos;ADRIÃO Karla Galvão ;2022
SANTOS Daniel Barbosa dos;AESCHINES;2003
SANTOS Daniel Barbosa dos;AESCHINES;2009
AGUIAR Juno Nedel Mendes de;AGAMBEN Giorgio;2020
AMORIM Graziele Regina de;AGAMBEN Giorgio;2015
AZEVEDO Gleice LInhares de;AGAMBEN Giorgio;2022
CARDOSO Guilherme da Silva;AGAMBEN Giorgio;2022
CARNEIRO Aílton José dos Santos;AGAMBEN Giorgio;2017
GOMES JR João;AGAMBEN Giorgio;2019
MACHADO José Wellington de Oliveira Machado;AGAMBEN Giorgio;2021
MAIA Renata Santos;AGAMBEN Giorgio;2020
MAIOR JR Paulo Roberto Souto;AGAMBEN Giorgio;2019
MAIOR JR Paulo Roberto Souto;AGAMBEN Giorgio;2015
MALINSKI Andre Americano;AGAMBEN Giorgio;2019
MARTINS Carla Cristina Siqueira;AGAMBEN Giorgio;2020
MELO Kelyel Fortes de Resende;AGAMBEN Giorgio;2020
NUNES Kauan Amora;AGAMBEN Giorgio;2019
OLIVEIRA JR Alcidesio de;AGAMBEN Giorgio;2012
RAMOS Jeferson;AGAMBEN Giorgio;2019
RIBAS Jorge Luiz Teixeira;AGAMBEN Giorgio;2018
SILVA Aline Nawara Cintra;AGAMBEN Giorgio;2022
SILVA Camila Diane;AGAMBEN Giorgio;2015
SILVA Fabio Ronaldo da;AGAMBEN Giorgio;2017
SILVA Gustavo Henrique Ramos;AGAMBEN Giorgio;2018
SOARES Anderson da Silva;AGAMBEN Giorgio;2016
TAVOLARO José Eduardo Matos;AGAMBEN Giorgio;2020
TROVAO Flavio Vilas-Boas;AGAMBEN Giorgio;2010
DIAS Claudio Jose Piotrovski;AGGLETON Peter ;2012
MEDEIROS Tiago Vidal;AGGLETON Peter ;2020
SILVA Sandro Coutinho da;AGGLETON Peter ;2022
AZEVEDO Ciro Linhares de;AGRA DO Ó Alarcon ;2015
MAIOR JR Paulo Roberto Souto;AGRA DO Ó Alarcon ;2015
MEDEIROS Lucas;AGRA DO Ó Alarcon ;2022
SILVA Fabio Ronaldo da;AGRA DO Ó Alarcon ;2017
HENRIQUES Adolfo Veiller Souza;AGRA Giscard Farias ;2021
SOUZA Italo Cristiano Silva e;AGRA Giscard Farias ;2014
GOMES Veronica de Jesus;AGUIAR Asdrúbal António de;2010
GOMES Veronica de Jesus;AGUIAR Asdrúbal António de;2019
