Id,indegree,outdegree
MEDEIROS Tiago Vidal,0,0
AARÃO REIS Daniel,1,0
SILVA Natanael de Freitas,1,199
ASSIS Eduardo Moreira,1,0
ABELOVE Henry,1,0
BRANDÃO Renata Rodrigues,1,117
JESUS Cassiano Celestino,0,0
KUMPERA Julia Aleksandra Martucci,0,0
ROCHA Cassio Bruno de Araujo,2,0
SANTOS Daniel Barbosa dos,0,0
SOUZA Mariana Barbosa,0,0
VIANNA Eliza da Silva,2,0
ABOIM Sofia,0,0
VIEIRA Kyara Maria de Almeida,2,0
CORREA Ester Candida,0,24
ABRAMOVAY Miriam,1,0
SILVA Tiago Vidal da,0,0
AGUIAR Juno Nedel Mendes de,0,0
ABREU Alzira Alves de,0,0
BORTOLON Flavia,0,0
LIRA Jefferson Maciel,0,0
REIS Gabbiana Clamer Fonseca Falavigna dos,0,0
CARDOSO Guilherme da Silva,0,0
ABREU Caio Fernando,0,0
DALLASTA Rodrigo Bonatto,0,0
GOMES Elisa Mariana de Medeiros Nobrega,0,0
NASCIMENTO Cicera Maria castro do,0,0
NASCIMENTO Dilene Raimundo,7,0
RODRIGUES Rita de Cassia Colaco,6,0
SILVA Walber Ferreira da,0,0
SOUSA NETO Miguel Rodrigues de,4,0
SOUZA Italo Cristiano Silva e,0,0
VASCONCELOS Osvaldo,0,0
JESUS Iara da Silva,0,0
ABREU João Capistrano de,1,0
GOMES Veronica de Jesus,3,0
LIMA Wallas Jefferson de,1,0
SILVA Ronaldo Manoel da,0,42
VIANA JR Mario Martins,0,0
DIAS Claudio Jose Piotrovski,0,0
ABREU João Francisco,0,0
QUEIROZ Marcos Tadeu Pereira de,0,0
ANDRADE Marciano Vieira,0,96
ABREU Manoel,1,0
MAIOR JR Paulo Roberto Souto,2,120
ABREU Márcia,1,0
NASCIMENTO Anne Raquel da Silva,0,0
NOBREGA Isabela Silva,0,85
FERREIRA Tiago da Silva,0,19
ABREU Martha,3,0
NASCIMENTO Álvaro Pereira,0,0
SOARES Bruno Cesar Brulon,0,0
BRITO Alexandre Magno Maciel Costa e,0,77
GALLINA Justina Franchi,0,0
GONCALVES Jose Claudio Leoncio,0,12
GOMES JR João,0,0
ABREU Maurício de Almeida,0,0
CORREA William Bruno,0,0
ABREU Nuno César Pereira de,3,0
COSTA Gerferson Damasceno,0,57
SILVA Fabio Ronaldo da,0,77
AMARILLO Claudia Patricia Rivera,0,0
ABUD Katia Maria,1,0
MEDEIROS Talita Goncalves,0,60
CUEVAS Clara Eliana,0,36
ACHA Omar,1,0
PINTO Rhanielly Pereira do Nascimento,0,0
MARTINELLI Leonardo da Silva,0,0
ACHARD Pierre,0,0
SELEM Maria Celia Orlato,0,0
AFONSO Ana Paula Jardim Martins,0,60
ADELMAN Miriam,3,0
MARIUSSO Victor Hugo da Silva Gomes,1,102
SANTOS Fernanda Cassia dos,0,0
TOLEDO Eliza Teixeira de,0,73
AFONSO Pablo Andrade,0,0
ADICHIE Chimamanda Ngozi,0,0
DAVI Edmar Henrique D,0,0
ADORNO Sérgio,0,0
KOREN Jonas Christmann,0,0
BARATA Germana Fernandes,3,0
ADORNO Theodor,1,0
MARTINS Carla Cristina Siqueira,0,0
MOTA Frederico Alves,0,0
NOGUEIRA Joanna Ribeiro,0,98
PETERS Carlos Eduardo Marotta,0,0
CASTRO Alana Albuquerque de,0,0
ADRIÃO Karla Galvão,0,0
SANTOS Paulo Henrique Souza dos,0,0
AESCHINES,0,0
AGAMBEN Giorgio,8,0
AMORIM Graziele Regina de,0,61
AZEVEDO Gleice LInhares de,0,0
CARNEIRO Aílton José dos Santos,0,65
MACHADO José Wellington de Oliveira Machado,0,0
MAIA Renata Santos,0,0
MALINSKI Andre Americano,0,0
MELO Kelyel Fortes de Resende,0,0
NUNES Kauan Amora,0,0
OLIVEIRA JR Alcidesio de,0,0
RAMOS Jeferson,0,0
RIBAS Jorge Luiz Teixeira,0,59
SILVA Aline Nawara Cintra,0,0
SILVA Camila Diane,0,37
SILVA Gustavo Henrique Ramos,0,62
SOARES Anderson da Silva,0,60
TAVOLARO José Eduardo Matos,0,0
TROVAO Flavio Vilas-Boas,1,0
AGGLETON Peter,0,0
SILVA Sandro Coutinho da,0,0
AZEVEDO Ciro Linhares de,0,86
AGRA DO Ó Alarcon,3,0
MEDEIROS Lucas,0,0
HENRIQUES Adolfo Veiller Souza,0,0
AGRA Giscard Farias,0,0
AGUIAR Asdrúbal António de,0,0
CARVALHO Marilia Miranda Alves,0,0
AGUIAR Flávio,1,0
GIMENEZ Mariana Quadros,0,41
PEREIRA Joao Lenon Siqueira,0,0
TEDESCO Caio de Souza,0,0
AHMED Sara,0,0
FRANCA Nayla Flavianne Borges Carvalho,0,0
AKOTIRENE Carla,0,0
BARBOSA Camila Nadedja Teixeira,0,0
BARRETO Juliano Bezerra de Menezes,0,0
DONINI Barbara Brognoli,0,0
NASCIMENTO Renan de Souza,0,0
PAIVA Ludmila Soares,0,0
SANTOS Raian Souza,0,0
VIEIRA Adriana Fraga,0,0
ALBERTI Verena,7,0
ARRUDA Guilherme Lima de Arruda,0,0
BRANDAO Fagner Alves Moreira,0,0
BRITO Paulo Henrique de,0,0
CARVALHO Mozart Matheus de Andrade,0,0
FERREIRA Matheus Yago Gomes,0,0
FREITAS Randas Gabriel Aguiar,0,0
LIMA Michele Pires,0,0
OLIVEIRA Augusta da Silveira de,0,59
PINTO Matheus Rodrigues,0,61
ROSSELLI Gabriela Brum,0,61
SANTOS Rafael Franca Goncalves dos,2,91
SILVA Jefferson Luiz Balbino Lourenço da,0,0
SILVA Josean Ricardo de Souza e,0,35
SILVA Rafaella de Sousa,0,0
SILVEIRA NETO Adilio Luiz da,0,0
SOUSA Luana Neres de,0,0
VERAS Elias Ferreira,5,89
ALBIERI Sara,0,0
SANTOS Leonardo Stabele,0,0
PEREIRA Cristiane dos Santos,0,0
ALBIN Ricardo Cravo,1,0
ALBUQUERQUE JR Durval Muniz de,17,0
ARAÚJO João Diogo Trindade Cordeiro,0,56
ARAUJO Patrícia Simone,0,0
BISPO Daniana de Oliveira,0,41
DUARTE Daniel Vital Silva,0,89
FLAUAUS Vinicius Melo,0,52
GONCALVES Alisson,0,0
LINS Rivelynno da Costa,0,30
MACAO Izabel Rizzi,0,0
NICOLAU Marcio Almeida,0,0
OLIVEIRA Rosana Medeiros de,0,0
PEREIRA Romulo Medeiros,0,0
PEREIRA Veronica Figueiredo,0,0
QUEIROZ Igor Henrique Lopes de,1,0
RIBEIRO JR Benedito Inacio,1,55
SALDANHA Rafael Araujo,0,0
SAMPAIO Filipe de Jesus,0,0
SANTOS Helio Secretario dos,0,0
SILVA Adjefferson Vieira Alves da,0,0
SILVA Laercio Theodoro da,0,0
SILVA Sandro Jose da,2,0
SOUZA Paulo Vitor Guedes de,0,0
ALBUQUERQUE Wlamyra Ribeiro,2,0
ALDRICH Robert,2,0
SILVA Filipe Noe da,0,67
ALENCAR Gedeon,1,0
MARANHAO Du Flor Meinberg,0,102
ALENCAR José de,1,0
ALENCASTRO Luiz Felipe,3,0
PERALTA Antonio Carlos Lopes,0,0
CARDOSO Policleiton Rodrigues,0,0
ALGRANTI Leila Mezam,0,0
NAPOLITANO Minisa Nogueira,0,0
ALGRANTI Leila Mezan,1,0
GAMA Elizabeth Castelano,1,0
ALMADA Sandra,0,0
ALMEIDA Amylton de,0,0
ALMEIDA Angela Mendes de,0,0
ALMEIDA Carla Maria Carvalho,0,0
ALMEIDA Fábio Chang de,1,0
ALMEIDA Fortunato de,0,0
ALMEIDA Glaucia Elaine Silva,1,0
SANTOS Patricia Lessa dos,0,0
ALMEIDA Guilherme,2,0
AZEVEDO Rafaela Costa de,0,0
LEAL Camilla,0,55
ALMEIDA Heloisa Buarque de,2,0
GODOY Fabricio Sparvoli,0,0
BELMONTE Pilar Rodriguez,1,0
ALMEIDA José Ricardo Pires de,2,0
GOMES Aline Ferreira,0,37
ALMEIDA Juniele Rebêlo de,0,0
FERRAZ Maria Cruz,0,0
ALMEIDA Maria Hermínia Tavares de,1,0
SILVA Jaine Chianca da,0,0
ALMEIDA Maria Isabel Gomes de,1,0
ALMEIDA Maria Regina Celestino de,0,0
BARROS Bruna Aparecida,0,51
ALMEIDA Maria Rita,1,0
LORENZONI Andre Luis,0,0
ALMEIDA Miguel Vale de,2,0
GOMES Mauricio Pereira,2,0
LOPES Fernando Jose,0,0
ALMEIDA Néri,1,0
FREITAS JR Renilson Pereira de,0,0
ALMEIDA Ronaldo de,0,0
SOLEDADE Alisson Cruz,0,0
ALMEIDA Silvio Luiz de,0,0
PAZ Thaís Terezinha,0,0
ALMODÓVAR Pedro,1,0
ALONSO Angela,1,0
GONÇALVES Maria Angela Gomes,0,0
SILVA Naylla Oliveira da,0,0
SILVEIRA Guilherme Pontes,0,0
SOBRAL Thasio Fernandes,0,0
NUNES Julia Ronai Porto,0,0
ALÓS Anselmo Peres,0,0
ALTHAUS-REID Marcella,1,0
ALTMAN Dennis,0,0
VITIELLO Gabriel Natal Botelho,1,0
ZAQUIEU Ana Paula Vianna,0,0
ASSUMPCAO Andreia dos S B M de,0,0
ALTMANN Helena,1,0
MACHADO JR Sergio da Silva,0,18
ÁLVAREZ Fernando Bouza,0,0
ALVAREZ Marcos César,2,0
LIMA Rodrigo Ramos,0,69
ALVAREZ Sônia,0,0
ALVES Branca Moreira,1,0
CARDOZO Leidy Carolina Diaz,0,37
NOGUEIRA Nadia Cristina,2,0
ALVES Flavio,0,0
ALVES Hailey,2,0
ALVES José Eustáquio Diniz,1,0
ALVES Maria Helena Moreira,2,0
ALVES Paula,0,0
ALVES Paulo César,0,0
ALVES Zedequias,0,0
AMARAL Darwin Santiago,0,0
ALVITO Marcos,0,0
AMADO Janaína,9,0
BATISTA Ana Cecilia Pereira,0,0
HIRATA Gabriel Tadashi,0,12
MONTEIRO Johnnatan David Bia,0,39
NUNES Anderson Cruz,0,33
OCANHA Rafael Freitas,2,0
AMADO Jorge,0,0
AMANCIO I M S,0,0
AMANCIO Izzie Madalena Santos,0,0
AMANCIO Tunico,0,0
AMANTINO Márcia,6,0
SILVA Claudielle Pavão da,0,58
AMARAL Ana Luísa,1,0
AMARAL Maria Adelaide,0,0
AMARAL Marília dos Santos,2,0
AMARAL Muriel Emídio Pessoa,1,0
COSTA Geovane Batista da,0,1
AMARAL Rita,0,0
AMATO Gabriel,0,0
AMORIM Graziele Regina,0,0
ANDERSON Benedict,1,0
ANDERSON Perry,1,0
ANDRADE Augusto José,0,0
ANDRADE Luma Nogueira de,2,0
ANDRADE Mário de,1,0
CANABARRO Ronald,0,70
ANDRADE Marta Mega,2,0
CORDEIRO Luiz Henrique Bonifacio,0,81
LEITE Letticia Batista Rodrigues,0,0
ROMERO Sheila R,0,0
ANGELO Vitor Amorim de,0,0
ANJOS Gabriele dos,1,0
AGUIAR JR Fernando Domingos de,0,45
ANKERSMIT Franklin R,2,0
ANSART Pierre,1,0
ANTUNES Cátia,2,0
ANTUNES José Leopoldo Ferreira,1,0
GOUVEIA Vanessa Alves,0,0
SILVA Redson dos Santos,0,44
ANTUNES Pedro Paulo Sammarco,2,0
ANTUNES Ricardo,0,0
ANZALDÚA Glória,0,0
AQUINO Maria Aparecida,0,0
AQUINO Tathiane Araújo,1,0
ARÁN Márcia,4,0
ARANHA Gervásio Batista,0,0
ARANTES Antonio,0,0
ARANTES Maria Auxiliadora,1,0
ARAÚJO Emanuel,0,0
ARAÚJO Eronides Câmara,2,0
ARAÚJO Inês Lacerda,2,0
ARAÚJO JR José Carlos,1,0
ARAÚJO Lucinha,1,0
ARAÚJO Maria,0,0
ARAÚJO Maria Luiza Macedo,0,0
ARAÚJO Maria Paula Nascimento,3,0
JATOBA Icaro,0,0
ARAÚJO Martinho Tota Filho Rocha,1,0
ARAUJO Paulo Cesar,2,0
ARAÚJO Rosa Maria Barbosa de,1,0
ARBEX Daniela,1,0
ARBEX JR José,0,0
CARNEIRO Hugo,0,0
ARENAS Reinaldo,1,0
MENDES Bruna Alves Carvalho,0,0
AREND Silvia Maria Fávero,1,0
PEREIRA Ronielyssom Cezar Souza,0,40
